ABP1,0.00176382425929,3
KRTAP5-9,0.00068864863307,108
NXPH2,0.000231677113996,1
Sytl1,0.000231677113996,1
STAT1,6.29488315325e-05,108
TSC2,5.87760808886e-05,38
PAK2,4.92266987622e-05,54
ZDHHC17,2.74125813175e-05,181
MYC,2.73731453261e-05,125
MALL,2.18730526768e-05,9
TENC1,2.11351834307e-05,75
PNMA1,1.69352844095e-05,116
EIF3G,1.45819738321e-05,25
Caskin1,1.33060885411e-05,11
MAP1LC3A,1.29972876568e-05,44
MPV17,8.83582941167e-06,1
REEP5,8.20539940383e-06,8
KEAP1,7.90790237066e-06,43
CCNE2,7.20658619714e-06,12
KLC4,7.13376964222e-06,18
PTPRJ,7.04245631863e-06,21
FCHSD2,6.89827315612e-06,29
GDE1,6.5884917118e-06,5
PPFIA1,6.53633343184e-06,28
PTF1A,6.30082939493e-06,11
ATXN2,5.48907243462e-06,21
MAFG,5.42010850748e-06,29
MARCKS,5.313281435e-06,14
TCAP,4.82649060092e-06,17
KLK5,4.47178897022e-06,11
MAGEA12,4.38751328152e-06,16
E2F3,4.31273774232e-06,25
BTF3,4.02476793934e-06,9
NR2F2,4.02337324849e-06,20
MPG,3.92778668434e-06,10
BBS1,3.8549050511e-06,13
EGLN3,3.53618429058e-06,24
TRAK1,3.40873244499e-06,9
PAX5,3.24732620999e-06,17
SIGLEC5,2.83227298958e-06,5
RIOK2,2.66003672141e-06,6
CDYL,2.55134231043e-06,6
MAGEA4,2.53376228627e-06,14
AFP,2.35926770562e-06,10
FCGR2B,2.26995710792e-06,11
CIAO1,2.18264279963e-06,11
ANXA13,1.84709555404e-06,3
MAT2B,1.81483795413e-06,6
ENO3,1.65644674495e-06,4
NPL,1.64112542778e-06,4
SNX21,1.49047238887e-06,2
NAT6,1.43996356382e-06,2
DNAJB14,1.38339500395e-06,1
METTL8,1.38339500395e-06,1
ELAC2,1.31031613238e-06,8
NR2F6,1.27088929671e-06,14
B3GAT3,1.14184663246e-06,4
CCDC184,1.04138014762e-06,8
A1CF,1.02321134746e-06,9
UCN,9.36102931172e-07,6
PRELP,9.27916099945e-07,7
PRDM2,9.16267996351e-07,8
SAA4,9.13823841162e-07,2
TRPV2,8.67162657616e-07,4
CD3EAP,7.91639813855e-07,9
PTGFRN,7.73859176748e-07,5
CACNA1S,7.34518171897e-07,4
DOCK10,6.4498489157e-07,4
RCC2,6.13193963829e-07,6
Cenpf,6.06704226967e-07,3
SBDS,4.6159230212e-07,5
FAM134A,4.39077368908e-07,3
TNFRSF6B,4.00445573793e-07,5
GPX3,3.95832774276e-07,2
LDHAL6B,3.85238820263e-07,6
MEC1,3.81520039645e-07,2
HES6,3.7584782207e-07,3
ZNF354A,3.46990364979e-07,4
Jak2,3.12245633762e-07,3
UL44,3.12073270427e-07,1
COL20A1,3.07350563761e-07,3
GPR77,2.90830839968e-07,3
KCNG2,2.90205068236e-07,1
C15orf29,2.20971547816e-07,3
SPOCK3,2.18914075181e-07,4
VKORC1L1,1.94065210224e-07,1
Tubb5,1.31947882945e-07,1
SDG26,1.22800372153e-07,1
KDM4C,1.16958817207e-07,2
BOD1L1,9.43971819467e-08,1
GCSAM,8.67192466524e-08,1
RPUSD4,8.03503696776e-08,1
MGP,6.34518524505e-08,1
Mllt3,5.59414536136e-08,1
Sugt1,5.18265113595e-08,1
TIMM22,4.46950201524e-08,1
CXorf40A,2.3363213556e-08,1
EOS,2.22623724531e-08,1
Wwp2,1.46040626681e-08,1
UTS2,0.0,4
