FZD3,3,ZNF33B,1
FH,3,ZNF33B,0
ZNF607,3,ZNF33B,0
KLRC3,3,ZNF33B,0
PPP1R9B,23,TAL1,0
SFRS1,27,HIP1,1
TOP2A,27,HIP1,1
SF1,46,GDF9,0
C8B,3,ZNF33B,0
PRR22,3,ZNF33B,0
RNF219,3,ZNF33B,0
HDGFRP2,3,ZNF33B,0
NPDC1,23,TAL1,0
PRKCE,62,FEZ1,0
TSSK4,3,ZNF33B,0
ARMC8,3,ZNF33B,0
SYN3,3,ZNF33B,0
INTS3,3,ZNF33B,0
MAP2K1,46,GDF9,0
PMPCB,3,ZNF33B,0
ABP1,3,ZNF33B,0
KCNJ5,3,ZNF33B,0
SMARCC2,23,TAL1,1
KLHL41,3,ZNF33B,0
ATP5J,3,ZNF33B,0
RAB3C,3,ZNF33B,0
DDX6,27,HIP1,0
HOMER3,31,NEFL,1
GHRHR,3,ZNF33B,0
GABARAPL2,57,GADD45G,1
GM2A,3,ZNF33B,0
PDE6D,27,HIP1,0
UNC5A,3,ZNF33B,0
RPAP1,3,ZNF33B,0
CHD1L,3,ZNF33B,0
KLK10,3,ZNF33B,0
UTS2R,3,ZNF33B,0
BRF2,3,ZNF33B,0
PIPOX,3,ZNF33B,0
PIR,3,ZNF33B,0
CPNE7,3,ZNF33B,0
NUP93,3,ZNF33B,0
GRHL1,3,ZNF33B,0
SUMO1P1,33,PFN2,0
PCMTD2,3,ZNF33B,0
TEKT3,3,ZNF33B,0
C22orf46,3,ZNF33B,0
COMTD1,3,ZNF33B,0
GTF2F2,27,HIP1,0
SSH2,3,ZNF33B,0
PTK2B,72,KPNB1,1
UBE2S,33,PFN2,0
GSTA4,3,ZNF33B,0
N4BP3,3,ZNF33B,0
BHLHB9,3,ZNF33B,0
ACO2,3,ZNF33B,0
TIPIN,3,ZNF33B,0
BCL9L,3,ZNF33B,0
Zfp128,3,ZNF33B,0
ZNF597,3,ZNF33B,0
Serpinb1a,3,ZNF33B,0
CPS1,3,ZNF33B,0
THOC6,3,ZNF33B,0
CHGB,31,NEFL,1
ADNP,3,ZNF33B,0
MDN1,3,ZNF33B,0
LANCL1,3,ZNF33B,0
TRMT61B,3,ZNF33B,0
NPM1,57,GADD45G,1
SEPT11,3,ZNF33B,0
MCMBP,3,ZNF33B,0
CA9,3,ZNF33B,0
C3AR1,3,ZNF33B,0
RPO21,3,ZNF33B,0
Rev1,3,ZNF33B,0
NOMO2,3,ZNF33B,0
STXBP4,3,ZNF33B,0
EED,46,GDF9,1
UROS,3,ZNF33B,0
ABHD5,3,ZNF33B,0
HUWE1,33,PFN2,0
Ncor1,3,ZNF33B,0
BCHE,3,ZNF33B,0
RAB4A,31,NEFL,0
ZSWIM8,3,ZNF33B,0
CA3,3,ZNF33B,0
SPATA4,3,ZNF33B,0
SIX6,3,ZNF33B,0
PCDH1,3,ZNF33B,0
HMOX2,33,PFN2,1
MYL9,3,ZNF33B,0
CPAMD8,3,ZNF33B,0
Ptk2,3,ZNF33B,0
UBASH3B,27,HIP1,0
NTRK2,33,PFN2,0
ARHGEF6,23,TAL1,1
DNMT3A,33,PFN2,1
PRB1,3,ZNF33B,0
SGCE,3,ZNF33B,0
MCFD2,3,ZNF33B,0
FARS2,23,TAL1,0
SLC24A1,3,ZNF33B,0
MLPH,3,ZNF33B,0
DLX3,3,ZNF33B,0
HSPD1,47,SH3GL3,0
SIGMAR1,3,ZNF33B,0
FAM126B,3,ZNF33B,0
HLA-A,27,HIP1,0
MAFIP,3,ZNF33B,0
Ikbkg,3,ZNF33B,0
ZNF555,3,ZNF33B,0
HMGB4,3,ZNF33B,0
LIPC,3,ZNF33B,0
TRAK2,3,ZNF33B,0
PDLIM3,3,ZNF33B,0
Senp1,3,ZNF33B,0
MYO5C,3,ZNF33B,0
Bid,3,ZNF33B,0
P2RY6,3,ZNF33B,0
NRL,3,ZNF33B,0
Lep,3,ZNF33B,0
FAM71E2,3,ZNF33B,0
PRKRA,23,TAL1,2
IL7R,104,BARD1,2
PKD1P1,3,ZNF33B,0
SCYL2,3,ZNF33B,0
MC1R,3,ZNF33B,0
TCP11L1,3,ZNF33B,0
Ube2o,3,ZNF33B,0
HELB,3,ZNF33B,0
RDH13,3,ZNF33B,1
PLAGL2,3,ZNF33B,0
KRTAP11-1,3,ZNF33B,0
CCDC136,62,FEZ1,1
CHMP7,3,ZNF33B,0
TRIM51,3,ZNF33B,0
TCP11,3,ZNF33B,0
RNF111,46,GDF9,0
CASK,62,FEZ1,1
TK1,163,CLK1,1
Igfbp7,3,ZNF33B,0
C1GALT1C1,3,ZNF33B,0
COPS2,46,GDF9,2
SPEF1,3,ZNF33B,0
UQCRFS1,3,ZNF33B,0
RCSD1,3,ZNF33B,0
MAP3K3,46,GDF9,0
PKD2L1,3,ZNF33B,0
TREM1,3,ZNF33B,0
PPM1K,3,ZNF33B,0
NID1,23,TAL1,0
PDGFRB,62,FEZ1,0
CHURC1,3,ZNF33B,0
HEATR1,3,ZNF33B,0
MYOD1,62,FEZ1,2
NINL,47,SH3GL3,0
IL10RA,3,ZNF33B,0
NECAB3,3,ZNF33B,0
KANSL2,3,ZNF33B,0
ECHDC2,3,ZNF33B,0
BIN2,3,ZNF33B,0
LSMEM2,3,ZNF33B,0
TUBB4,3,ZNF33B,0
TMEM25,3,ZNF33B,0
CCDC85A,3,ZNF33B,0
PAX6,33,PFN2,0
GRID1,3,ZNF33B,0
UBE2V2,31,NEFL,2
LMP1,3,ZNF33B,0
CLOCK,27,HIP1,0
PAK1IP1,3,ZNF33B,0
P2RY1,3,ZNF33B,0
SH3BP5L,3,ZNF33B,0
MAP3K5,56,ZHX1,1
GDF9,46,GDF9,2
GAREML,3,ZNF33B,0
SLC22A1,3,ZNF33B,0
RS1,3,ZNF33B,0
CEP55,57,GADD45G,0
LCA5,3,ZNF33B,0
HOXB4,3,ZNF33B,0
HAMP,3,ZNF33B,0
ZNF467,3,ZNF33B,0
ORMDL3,3,ZNF33B,0
PTGES3,33,PFN2,0
NUTM2F,3,ZNF33B,0
KCTD3,3,ZNF33B,0
ADCYAP1R1,3,ZNF33B,0
AKAP13,23,TAL1,0
ERGIC3,3,ZNF33B,0
TMEM190,3,ZNF33B,0
CRIP1,3,ZNF33B,2
RPS12,3,ZNF33B,0
RPL19,3,ZNF33B,0
RMDN3,3,ZNF33B,0
DPYD,3,ZNF33B,1
Ctbp1,3,ZNF33B,0
ASB7,3,ZNF33B,0
UQCRC2,3,ZNF33B,0
MUT,3,ZNF33B,0
FASTKD3,3,ZNF33B,1
TRIM47,3,ZNF33B,0
PDE10A,3,ZNF33B,0
ACBD6,3,ZNF33B,0
ALDOA,27,HIP1,0
SYNJ1,23,TAL1,1
L3MBTL1,3,ZNF33B,0
HHIP,3,ZNF33B,0
CEL,3,ZNF33B,0
YTHDC2,3,ZNF33B,0
FURIN,31,NEFL,0
PSKH1,3,ZNF33B,0
FABP2,3,ZNF33B,0
TRIP10,31,NEFL,0
C2orf51,3,ZNF33B,0
FA2H,3,ZNF33B,0
BUD13,3,ZNF33B,0
TADA3,27,HIP1,1
TINAG,3,ZNF33B,0
SIGLEC10,3,ZNF33B,0
IGLC1,3,ZNF33B,0
PARD3B,3,ZNF33B,0
TRBV2,3,ZNF33B,3
KLK15,3,ZNF33B,0
SLC18A2,3,ZNF33B,0
ATIC,3,ZNF33B,0
MT1DP,3,ZNF33B,0
AMHR2,3,ZNF33B,0
PCDH17,3,ZNF33B,0
CDH2,23,TAL1,0
RARS,3,ZNF33B,0
EHMT2,46,GDF9,1
BMPR1A,27,HIP1,1
CRP,23,TAL1,0
DDX11,3,ZNF33B,3
EEF2KMT,3,ZNF33B,0
PPIG,27,HIP1,2
FAM63A,3,ZNF33B,0
IGSF5,3,ZNF33B,0
MED21,27,HIP1,0
GTF2E1,27,HIP1,0
C7orf43,3,ZNF33B,0
WDR44,3,ZNF33B,0
HOXB3,3,ZNF33B,0
KPTN,3,ZNF33B,0
TSC22D1,53,GIT1,1
HSD17B10,33,PFN2,1
ADCY2,3,ZNF33B,0
SMARCD1,46,GDF9,1
MRPS31,3,ZNF33B,0
GLUD2,3,ZNF33B,0
MYST2,31,NEFL,2
BARD1,104,BARD1,1
PMS2,3,ZNF33B,0
BLVRB,3,ZNF33B,0
SYT1,33,PFN2,0
OCEL1,3,ZNF33B,0
KDM6B,3,ZNF33B,0
SRPR,3,ZNF33B,0
Mta1,3,ZNF33B,0
ZSCAN16,3,ZNF33B,0
CSAG1,3,ZNF33B,0
CDK5,72,KPNB1,3
CDC42SE1,3,ZNF33B,0
PLCG2,53,GIT1,0
WAPAL,3,ZNF33B,0
CACNA1D,3,ZNF33B,0
ETV3,3,ZNF33B,0
ADAMTSL4,108,SETDB1,0
GABRA3,3,ZNF33B,0
CSNK1G2-AS1,3,ZNF33B,0
PDP1,3,ZNF33B,0
CIDEC,3,ZNF33B,0
LZTS1,3,ZNF33B,0
BCAS1,3,ZNF33B,0
WASF1,31,NEFL,0
SSR3,3,ZNF33B,0
RRAGD,3,ZNF33B,0
SPTSSA,3,ZNF33B,0
CDYL2,3,ZNF33B,0
Pebp1,3,ZNF33B,0
FAM48A,3,ZNF33B,0
NDUFB1,3,ZNF33B,0
APOM,3,ZNF33B,1
WNT7A,3,ZNF33B,0
TLN1,23,TAL1,0
NCR3,3,ZNF33B,0
MTHFD1,3,ZNF33B,0
PLGRKT,3,ZNF33B,0
TMEM189,3,ZNF33B,0
ARL16,3,ZNF33B,0
Cebpb,3,ZNF33B,0
Hk2,3,ZNF33B,0
EIF2S3,3,ZNF33B,0
