LOC101927366
CP
CPT1A
ADRB1
CYBB
FN1
SIRT1
TMEFF2
ZFP57
INS
IRS1
KIF5B
LEPR
MAP3K5
ATP6
POMC
PON1
PPARG
KIF1A
PTGS2
RAC1
NCF1
SOD1
THBS2
CAT
AOC3
NR1I2
ADIPOQ
NR1I3
PPARGC1A
CHRM2
CPT1A
CPT1B
ADRA1A
CYBA
CYBB
CYP1A1
ADRB3
ACE
NQO1
AGT
EDN1
ESRRA
ACSL1
FOXO3
SIRT1
FGF21
GCK
GPD2
GPX1
GSR
HK1
HMOX1
HSD11B1
IAPP
ICAM1
ID1
IFNG
IGF1
FAS
IL1B
IL6
INSR
PDX1
IRS1
KCNJ11
LEPR
STS
MAP3K5
MFGE8
MMP2
MMP9
MPO
COX2
ND1
ATF3
NEUROD1
NKX6-1
NOS2
NOS3
ATP2A2
ATP2A3
SERPINE1
PAX6
ACOX1
PCK1
PCSK2
PDK4
PFKM
PKLR
S1PR5
PPARA
PPARG
PRKCA
PRKCD
PRKCE
PTGS2
GPAM
BAX
BCL2
RELA
REN
BCL2L1
BDKRB1
S100A6
CCL20
CX3CL1
ACOT1
SLC2A2
SLC2A4
NCF1
SLC9A1
SLC9A3
SNAP25
SOD1
SOD2
SREBF1
TGFB1
TIMP1
TIMP2
TNF
TNFRSF1A
TP53
UCP2
VEGFA
YWHAH
CASP3
CAT
CAV1
CAV3
AOC3
S1PR4
AIFM1
S1PR2
CD68
JAZF1-AS1
SH2B3
CASP12
COLEC10
CD226
PHTF1
CHRM2
C1QTNF6
CP
GAB3
CRP
DNAH2
CTLA4
CTSH
CLECL1
DDIT3
GLIS3
ERBB3
EFR3B
CLEC16A
CUX2
IL27
PRKD2
PTPN22
FGF21
CLEC2D
IL19
HLA-DQA1
HLA-DQB1
HLA-DRA
HLA-DRB1
HP
HSD11B2
IFNG
IGF1
IGF2
IL2RA
IL10
INS
ITPR3
KCNJ11
CENPW
LMO7
NOS1
NOS3
OAS1
IL20
PAX4
FOXP3
IGF2-AS
PGM1
UBASH3A
SLC29A3
MEG3
SIRPG
GSDMB
PRKCQ
PTPN2
BACH2
HPSE2
CCL20
IFIH1
IKZF4
SLC11A1
ZFP36L1
STAT3
ABCC8
HNF1A
TNF
INS-IGF2
TYK2
NAA25
KIAA1109
CAT
SKAP2
AIFM1
CD69
AGPAT2
FOS
BSCL2
PPARG
CAV1
CDKN2B-AS1
LOC100129940
NIDDM4
ADAMTS9-AS2
PRC1-AS1
C15orf38-AP3S2
RASGRP1
LOC101927736
LOC101928423
MPHOSPH9
AP3S2
LOC102725019
MAEA
CDO1
HMG20A
IGF2BP2
PPARGC1A
KCNQ1OT1
ADCY5
FAF1
CAPN10
OSBPL1A
ARAP1
CPT1A
C2CD4A
CYBA
CYP1A2
DGKB
SLC16A11
SLC30A8
GLIS3
ECE1
EDN1
EDNRA
EDNRB
EGFR
SLC16A13
RPSAP52
AKT2
JAZF1
SIRT1
GABRA4
GPSM1
VPS33B
GCG
GCGR
GCK
GCKR
GNB3
GPD2
LAMA1
ANK1
GRK5
GPX1
GRB14
GSTM1
HBA1
HHEX
HK1
HMGA1
HMOX1
HNF4A
HP
HPX
IAPP
ICAM1
ID1
FAS
IL6
INS
INSR
PDX1
IRS1
KCNJ11
KCNQ1
C2CD4B
LEP
LEPR
LIPC
MAT1A
MTNR1B
ATF3
NEUROD1
NFKB1
NKX6-1
NOS2
NOS3
NOTCH2
ATP2A2
ATP2A3
OGG1
PAM
PAX4
PAX6
NIDDM3
PCSK2
ENPP1
PEPD
POU5F1
ARL15
PPARA
PPARG
CDKAL1
PPP1R3A
SRBD1
ITLN1
INTS8
PRKCB
PROX1
RETN
ADAMTS9
ZMIZ1
PTPN1
PTPRD
RBMS1
BCL2
RELA
BCL2L1
RGS7
RNF6
ZFAND3
MIR486-1
S100A6
BHMT
SRR
THADA
SGCG
SHBG
LOC646736
ST6GAL1
SLC2A1
SLC2A2
SLC2A4
SNAP25
SOD1
SOD2
ABCC8
HNF1A
HNF1B
TCF7L2
TGFB1
TIMP1
TNF
TNFRSF1A
TNFRSF1B
C3
INS-IGF2
ZBED3-AS1
UBE2E2
UCP2
VEGFA
WFS1
FTO
PCNXL2
CMIP
HMGA2
CASP3
KCNK16
CASP8
CAT
OASL
IRS2
CBS
CCND2
KCNK17
PRC1
FAM58A
DNER
ADIPOQ
TP53INP1
MAPK8IP1
VPS26A
PSMD6
KCNJ11
ABCC8
INSR
ALDH2
AKR1B1
HIF1A
HP
VEGFA
GCK
HNF4A
GCK
INSR
FOXP3
ZFP57
PLAGL1
HYMAI
TNDM
NIDDM2
CTLA4
IDDM13
CAPN10
NIDDM1
IDDM11
KCNJ11
ABCC8
GCK
INS
PDX1
KCNJ11
ABCC8
IDDM8
ABCC8
IDDM7
SUMO4
IDDM4
IDDM3
PBCA
GATA6
NIDDM4
IDDMX
INS
IDDM18
GLIS3
IFIH1
NIDDM3
IDDM17
KCNJ11
IL2RA
IDDM6
IDDM15
FOXC2
IDDM23
CCR5
TAGAP
HNF1A
IDDM24
KCNJ11
