('ATP2A2', 3.887648012602455e-06)
('KDM3B', 2.5145356978355605e-07)
('CLCN3', 1.68314311868617e-06)
('SNAP91', 3.547944928613406e-06)
('NAB2', 4.296844839025892e-06)
('AKT3', 3.3987381958431755e-06)
('GIGYF2', 2.3930225064917656e-06)
('MAD1L1', 4.807483889711921e-06)
('TCF20', 1.1123145243085684e-05)
('PAK6', 1.2568279251928777e-05)
('ETF1', 6.848103716486846e-07)
('CUL3', 2.0934531563624463e-05)
('RGS6', 4.032298105747272e-06)
('CACNA1C', 2.2245727651132455e-05)
('HCN1', 0.0)
('SDCCAG8', 8.454276006014881e-08)
('ADAMTSL3', 1.1020396297464925e-06)
('RERE', 2.938275405951923e-06)
('GRIN2A', 4.944188348137076e-05)
('NRGN', 9.41305236256627e-06)
('VRK2', 1.0056502170821553e-05)
('SHMT2', 4.128167616114191e-06)
('STAG1', 8.520401728435577e-06)
('CHRNA5', 2.6992986821544208e-08)
('FES', 1.3509518726202678e-05)
('CHRNA3', 2.9755602221420023e-07)
('DPYD', 1.447707681846592e-07)
('PRRG2', 1.6708745029114115e-06)
('PPP1R16B', 1.1453408449030934e-06)
('SMG6', 1.5515371584998087e-06)
('IMMP2L', 1.0069665098566329e-07)
('NFATC3', 7.581781261230065e-07)
('CYP26B1', 1.0968884211639407e-07)
('EPC2', 2.0418597471875694e-07)
('AMBRA1', 1.0780719722631887e-06)
('GPM6A', 1.8656534474467e-06)
('TMTC1', 4.568822096740665e-08)
('MPHOSPH9', 2.1466245349738285e-06)
('SRPK2', 8.924913138726973e-05)
('TCF4', 5.053951101868629e-05)
('PRKD1', 1.2462198368172588e-05)
('CNTN4', 1.697594854479047e-07)
('DGKI', 1.537131879218223e-07)
('PTGIS', 1.6079871330541567e-06)
('OTUD7B', 4.962269586440252e-07)
('GALNT10', 2.529122674065111e-07)
('CACNB2', 1.8984384169199715e-06)
('ZNF804A', 2.2310222562759423e-06)
('BCL11B', 4.837379133296875e-07)
('NLGN4X', 1.1577778795704363e-05)
('MPP6', 6.110402680044202e-06)
('MAN2A1', 3.471020658390689e-08)
('SATB2', 3.890693022758983e-07)
