PRX,0.152351950815,5
FOXG1,0.140555095826,16
ADH1B,0.140331401678,5
GLTSCR2,0.140111142747,6
C2orf74,0.140077764477,1
DDX19B,0.000110167844517,14
TP73,8.27233202861e-05,57
TUBB4B,8.20260891547e-05,13
TRAF1,4.18524795383e-05,173
GOLM1,3.36206044604e-05,26
HES6,3.34811523262e-05,3
CREB1,2.15554361563e-05,80
TOX4,1.62434848127e-05,15
SH3RF2,1.61986351047e-05,14
CHEK1,1.04208893537e-05,43
ANAPC10,8.28960696184e-06,14
RABEP1,6.5328780942e-06,27
DDX46,5.29654931655e-06,2
SH3KBP1,3.78470287758e-06,46
PIM1,3.21872090985e-06,32
NACAD,2.90072122427e-06,9
ORC2L,2.71097016517e-06,21
PHLDA1,2.00637841049e-06,9
CCNK,1.96099156606e-06,25
ZNF775,1.843932763e-06,6
MYH9,1.57075094526e-06,24
MLLT6,1.35937379921e-06,19
ACTR1A,1.35071900135e-06,7
SIRT6,1.12639170222e-06,10
USPL1,1.10316341307e-06,5
SLU7,1.08067997707e-06,17
ZNF496,1.06064664267e-06,20
FAM46C,9.76228545658e-07,7
CAP1,7.93846193239e-07,12
PIK3CB,7.62537446609e-07,11
ITGA9,6.82151782616e-07,7
YOD1,6.4504611807e-07,12
RBM3,6.26874939246e-07,8
KRTAP8-1,6.02974341171e-07,5
HCRTR1,6.00022658662e-07,4
ZMAT1,5.62576519907e-07,7
POFUT1,5.52907883142e-07,4
HBEGF,5.29947841352e-07,14
EEF1A2,5.09662194034e-07,6
DCTN4,4.84268012862e-07,8
C11orf74,4.78540645653e-07,3
WTAP,4.67884003079e-07,7
PPP1R7,4.11621846897e-07,6
ZNF618,4.0743640973e-07,1
ZRANB1,4.04694765982e-07,4
CABP1,3.8438525551e-07,9
ASAP3,3.73233241294e-07,5
B4GALT3,3.50697124804e-07,3
RPL29,3.31524607853e-07,6
IDUA,3.23984941838e-07,1
INSC,2.91049627016e-07,5
MAPKSP1,2.57890656997e-07,6
SERP1,2.57336556202e-07,7
ACADM,2.56881944812e-07,4
PCDHGA4,2.46185618036e-07,1
NATD1,2.39337296943e-07,4
Cct8,2.25236934973e-07,1
LACE1,2.17384158677e-07,1
LIPC,1.84512787273e-07,3
XIST,1.83089109522e-07,2
TXNDC12,1.75401457202e-07,5
PPP1R21,1.69346310256e-07,3
SLAMF1,1.67718241055e-07,7
RGS18,1.43595988913e-07,5
RPL38,1.41608234056e-07,3
SLX8,1.36292344886e-07,4
Gnao1,1.18355822429e-07,1
NAALADL2,1.17474803534e-07,6
HIST1H4H,1.12468852608e-07,1
LOC142937,1.02418839687e-07,2
SNX19,9.41876045216e-08,2
ESPN,9.26950543819e-08,1
RPL32,9.18379016934e-08,1
CCDC144NL,7.80285722526e-08,1
CSNK1G3,7.78944131876e-08,4
C14orf4,7.67923088373e-08,1
RXFP4,6.947987314e-08,2
SHCBP1,6.91640007862e-08,2
OTUD6B,6.66667731428e-08,1
NDUFB7,6.5885360082e-08,4
Ndufs3,5.98377995342e-08,1
ZNF614,5.69740491573e-08,2
TREML1,4.9167342644e-08,4
SLC25A23,4.22239043096e-08,1
AT1G04410,3.91787820911e-08,1
PDGFD,2.54548827841e-08,1
IGHV4-31,2.51243279879e-08,1
Usp14,2.24430875035e-08,1
Abhd5,2.11642780722e-08,1
SEMA3C,1.3084916141e-08,2
C17orf97,1.21943025341e-08,1
RGP1,1.00274068849e-08,1
Magi1,9.64321749116e-09,1
Hipk3,3.85560101697e-09,1
PSPN,0.0,1
